Country,Month,Slope,R2,p
CH,1,0.006737268528045816,0.08169857448572042,0.015677537874736528
CH,2,0.0047312424331817015,0.04012671689410702,0.0939419279124268
CH,3,0.00804991505797008,0.08045894183263325,0.016523741476604643
CH,4,-0.0030879605302022027,0.0044392197906651335,0.5809058732838479
CH,5,-0.010682895514246095,0.013888127751871296,0.3276816044325509
CH,6,-0.02785209418182251,0.04146806901554089,0.08850860468160933
CH,7,0.014806534524282072,0.023768577155312783,0.19599995031570552
CH,8,-0.010178041359717931,0.007936395841743448,0.45677041470521196
CH,9,-0.031135009870849117,0.048183341459631386,0.06393306974391114
CH,10,0.011466477439487368,0.12896611738016486,0.0019487288665293741
CH,11,0.007647261464243339,0.09474604818482787,0.008530347582811366
CH,12,0.007985981518794281,0.1634822003859315,0.00042751726313099625
CI,1,-0.003987696739788495,0.0026789827849965165,0.69450245905606
CI,2,-0.0065199219113656354,0.009973439937536709,0.4517111675212869
CI,3,-0.0023153305160398207,0.0016356044212722488,0.7610338839438169
CI,4,-0.0031687459327969926,0.00202664639242987,0.7349373315896581
CI,5,-0.02412300211171091,0.056098658710640334,0.07343661154500225
CI,6,-0.007889267642025697,0.007383418742845449,0.5213007953557438
CI,7,-0.016766909385182948,0.03601527657197783,0.14997081642622515
CI,8,-0.008003641680863793,0.008132017464844087,0.49698990901261475
CI,9,-0.006392496814711996,0.009295700012123582,0.4715468634132538
CI,10,-0.00735011100971232,0.009461388130011301,0.4636211885804501
CI,11,-0.0023316290915936454,0.001364570502708949,0.77745347303095
CI,12,-0.012651242515301336,0.04400003243944824,0.10770800438968996
CJ,1,0.026798670221342896,0.07323479813436043,0.04568120767623408
CJ,2,0.0065130996699431475,0.014034663678869368,0.384515735659161
CJ,3,-0.0036815701846453245,0.005379534028818478,0.5911217833699461
CJ,4,0.003491087908182084,0.004029606879776892,0.6420819536758946
CJ,5,0.06737577879793846,0.1663843836205227,0.0018050818642473276
CJ,6,0.07609620160480128,0.1568053623078543,0.002519423321966311
CJ,7,0.04561189699941017,0.2030442040678296,0.000492242850844055
CJ,8,0.07439924592476099,0.3743190711019628,5.451272539445568e-07
